Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2022-02-08,2022-02-08 00:00:00.000000000,0.6868,0.879,0.6868,0.7626,37682126.9,2022-02-08 23:59:59.999000064,29040826.34369,89169,18580764.4,14380656.64028,0
2022-02-09,2022-02-09 00:00:00.000000000,0.7625,0.82,0.7121,0.7329,13098610.5,2022-02-09 23:59:59.999000064,9824210.33979,36285,6734530.5,5068932.34595,0
2022-02-10,2022-02-10 00:00:00.000000000,0.7329,0.74,0.6576,0.6637,11414292.7,2022-02-10 23:59:59.999000064,8066255.25608,31638,5201774.2,3685186.68301,0
2022-02-11,2022-02-11 00:00:00.000000000,0.6649,0.6877,0.5587,0.58,12364388.0,2022-02-11 23:59:59.999000064,7692135.29965,30120,5164583.9,3227160.12413,0
2022-02-12,2022-02-12 00:00:00.000000000,0.5792,0.612,0.5555,0.5699,6375845.3,2022-02-12 23:59:59.999000064,3710312.66956,19003,2892663.7,1682970.91564,0
2022-02-13,2022-02-13 00:00:00.000000000,0.5697,0.584,0.5302,0.5341,4307080.9,2022-02-13 23:59:59.999000064,2406291.84731,12174,2056291.2,1147453.36712,0
2022-02-14,2022-02-14 00:00:00.000000000,0.5336,0.5857,0.525,0.5685,8045088.2,2022-02-14 23:59:59.999000064,4450432.69135,15709,3856094.0,2134875.1021,0
2022-02-15,2022-02-15 00:00:00.000000000,0.5685,0.6204,0.562,0.5997,6602953.7,2022-02-15 23:59:59.999000064,3915688.17108,12160,3268613.0,1940530.568,0
2022-02-16,2022-02-16 00:00:00.000000000,0.5982,0.6086,0.5681,0.5928,4788780.5,2022-02-16 23:59:59.999000064,2811190.15966,8414,2171276.0,1275497.71808,0
2022-02-17,2022-02-17 00:00:00.000000000,0.5928,0.607,0.5171,0.5263,9066284.9,2022-02-17 23:59:59.999000064,5015692.32526,18384,3826026.6,2126323.52413,0
2022-02-18,2022-02-18 00:00:00.000000000,0.5262,0.5468,0.4942,0.5091,16839255.9,2022-02-18 23:59:59.999000064,8732001.45521,59936,8464756.1,4385001.42206,0
2022-02-19,2022-02-19 00:00:00.000000000,0.5092,0.5248,0.4717,0.4786,12706883.6,2022-02-19 23:59:59.999000064,6322332.60043,49632,6104875.2,3040791.8983,0
2022-02-20,2022-02-20 00:00:00.000000000,0.4786,0.4822,0.4163,0.4248,24500905.5,2022-02-20 23:59:59.999000064,10737012.75091,77065,11706138.1,5131315.61791,0
2022-02-21,2022-02-21 00:00:00.000000000,0.4248,0.4769,0.393,0.3956,42058413.1,2022-02-21 23:59:59.999000064,18398061.40699,115695,20841173.6,9128998.78413,0
2022-02-22,2022-02-22 00:00:00.000000000,0.3957,0.435,0.3708,0.4202,39837212.8,2022-02-22 23:59:59.999000064,15897871.40202,105032,19816903.5,7910450.55725,0
2022-02-23,2022-02-23 00:00:00.000000000,0.4202,0.4632,0.3952,0.3991,38447178.2,2022-02-23 23:59:59.999000064,16309534.24781,103668,18932797.4,8032910.34593,0
2022-02-24,2022-02-24 00:00:00.000000000,0.3991,0.4085,0.338,0.3861,41321296.4,2022-02-24 23:59:59.999000064,15149681.06336,112220,20362480.5,7467856.90832,0
2022-02-25,2022-02-25 00:00:00.000000000,0.3868,0.4599,0.3785,0.4342,16508882.5,2022-02-25 23:59:59.999000064,6804613.14496,34555,8195226.8,3388948.13084,0
2022-02-26,2022-02-26 00:00:00.000000000,0.4353,0.4946,0.4271,0.4633,13244902.6,2022-02-26 23:59:59.999000064,6020337.90777,29690,6436974.9,2933557.46734,0
2022-02-27,2022-02-27 00:00:00.000000000,0.4632,0.5037,0.4208,0.4362,11772389.9,2022-02-27 23:59:59.999000064,5482667.21046,28859,5559321.3,2596450.6163,0
2022-02-28,2022-02-28 00:00:00.000000000,0.4364,0.5499,0.425,0.5097,13000045.9,2022-02-28 23:59:59.999000064,6385497.07327,27754,6440614.2,3144600.85104,0
2022-03-01,2022-03-01 00:00:00.000000000,0.5087,0.541,0.4919,0.5237,9590480.9,2022-03-01 23:59:59.999000064,4953513.19878,23009,4711005.9,2437465.62063,0
2022-03-02,2022-03-02 00:00:00.000000000,0.5237,0.5483,0.5036,0.5082,7365769.6,2022-03-02 23:59:59.999000064,3855980.28895,21924,3561739.1,1866442.07934,0
2022-03-03,2022-03-03 00:00:00.000000000,0.5082,0.517,0.4688,0.494,7476224.5,2022-03-03 23:59:59.999000064,3678969.79514,22935,3430437.2,1688978.12582,0
2022-03-04,2022-03-04 00:00:00.000000000,0.4933,0.509,0.4479,0.4567,8722401.1,2022-03-04 23:59:59.999000064,4212202.75305,25045,3785202.0,1833057.99186,0
2022-03-05,2022-03-05 00:00:00.000000000,0.4577,0.4844,0.443,0.4796,5748074.0,2022-03-05 23:59:59.999000064,2660093.18565,16708,2915685.3,1351008.10038,0
2022-03-06,2022-03-06 00:00:00.000000000,0.4795,0.509,0.4493,0.4505,9278700.9,2022-03-06 23:59:59.999000064,4455269.86112,23965,4400645.8,2120198.23025,0
2022-03-07,2022-03-07 00:00:00.000000000,0.4506,0.4693,0.4227,0.4319,6641755.2,2022-03-07 23:59:59.999000064,2951925.11276,16999,3095144.4,1378475.72656,0
