Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2020-11-24,2020-11-24 00:00:00.000000000,0.1437,0.2,0.1437,0.1657,5208144.17,2020-11-24 23:59:59.999000064,839275.961987,4125,2102569.31,340080.925556,0
2020-11-25,2020-11-25 00:00:00.000000000,0.1657,0.2172,0.15,0.1831,44821189.96,2020-11-25 23:59:59.999000064,8523191.68797,34867,22674155.53,4330634.261092,0
2020-11-26,2020-11-26 00:00:00.000000000,0.1826,0.2,0.1419,0.159,26948261.94,2020-11-26 23:59:59.999000064,4461310.682617,27566,13065455.77,2165059.8034,0
2020-11-27,2020-11-27 00:00:00.000000000,0.159,0.1745,0.1516,0.1745,9945357.77,2020-11-27 23:59:59.999000064,1624072.597348,10394,4185662.32,684084.656825,0
2020-11-28,2020-11-28 00:00:00.000000000,0.1737,0.1909,0.1701,0.1818,21958145.62,2020-11-28 23:59:59.999000064,4020218.826872,21213,9428402.12,1730095.145755,0
2020-11-29,2020-11-29 00:00:00.000000000,0.181,0.187,0.169,0.1787,9924137.05,2020-11-29 23:59:59.999000064,1744513.632319,9276,4724037.33,831840.290267,0
2020-11-30,2020-11-30 00:00:00.000000000,0.1787,0.191,0.1709,0.1892,9052585.35,2020-11-30 23:59:59.999000064,1640363.623231,10326,4339980.86,789444.949773,0
2020-12-01,2020-12-01 00:00:00.000000000,0.1893,0.1971,0.17,0.1899,11195553.75,2020-12-01 23:59:59.999000064,2096889.276299,14618,5699164.69,1070376.106214,0
2020-12-02,2020-12-02 00:00:00.000000000,0.1896,0.208,0.1834,0.2014,9352293.12,2020-12-02 23:59:59.999000064,1809952.153636,10632,4558563.99,885884.718509,0
2020-12-03,2020-12-03 00:00:00.000000000,0.2017,0.222,0.1995,0.2188,18233298.33,2020-12-03 23:59:59.999000064,3841896.085539,17361,9632601.86,2033332.404601,0
2020-12-04,2020-12-04 00:00:00.000000000,0.2189,0.2727,0.2131,0.2418,105517353.7,2020-12-04 23:59:59.999000064,26128709.209394,84748,51236218.18,12705238.236884,0
2020-12-05,2020-12-05 00:00:00.000000000,0.2415,0.28,0.2334,0.2609,50169224.05,2020-12-05 23:59:59.999000064,13233223.029258,46587,23902222.76,6310473.202731,0
2020-12-06,2020-12-06 00:00:00.000000000,0.2612,0.2625,0.2315,0.249,24353633.18,2020-12-06 23:59:59.999000064,5974367.987074,24826,10247152.8,2515261.019785,0
2020-12-07,2020-12-07 00:00:00.000000000,0.2488,0.2575,0.2242,0.236,16903007.18,2020-12-07 23:59:59.999000064,4009258.098988,20872,8092663.42,1911894.260212,0
2020-12-08,2020-12-08 00:00:00.000000000,0.2363,0.237,0.2052,0.2221,31222855.44,2020-12-08 23:59:59.999000064,6834950.629644,30405,15424011.9,3387531.071815,0
2020-12-09,2020-12-09 00:00:00.000000000,0.2213,0.231,0.186,0.217,32398983.55,2020-12-09 23:59:59.999000064,6605469.892415,28700,17068018.92,3477680.064434,0
2020-12-10,2020-12-10 00:00:00.000000000,0.217,0.2343,0.2093,0.2173,21142984.87,2020-12-10 23:59:59.999000064,4686181.098561,21973,8848014.25,1964525.788521,0
2020-12-11,2020-12-11 00:00:00.000000000,0.2173,0.2179,0.195,0.2042,19305547.82,2020-12-11 23:59:59.999000064,3944549.999067,14878,9091934.78,1861821.243698,0
2020-12-12,2020-12-12 00:00:00.000000000,0.2038,0.2655,0.2038,0.2641,76495806.55,2020-12-12 23:59:59.999000064,18701846.392214,62285,39154465.02,9605894.726811,0
2020-12-13,2020-12-13 00:00:00.000000000,0.264,0.2754,0.2489,0.255,43712387.37,2020-12-13 23:59:59.999000064,11395953.122456,38215,20368327.35,5329198.000961,0
2020-12-14,2020-12-14 00:00:00.000000000,0.2549,0.2616,0.2338,0.2486,25421960.41,2020-12-14 23:59:59.999000064,6243743.762942,24037,12319326.24,3029238.661933,0
2020-12-15,2020-12-15 00:00:00.000000000,0.2487,0.2549,0.2372,0.2465,15231751.44,2020-12-15 23:59:59.999000064,3743068.326307,15455,6744531.97,1659864.301262,0
2020-12-16,2020-12-16 00:00:00.000000000,0.2468,0.2612,0.2344,0.257,26756605.96,2020-12-16 23:59:59.999000064,6632368.633391,24386,12383164.58,3082429.256146,0
2020-12-17,2020-12-17 00:00:00.000000000,0.257,0.2964,0.2472,0.2807,52578942.85,2020-12-17 23:59:59.999000064,14247629.227955,46118,26131712.26,7087049.940034,0
2020-12-18,2020-12-18 00:00:00.000000000,0.2804,0.3157,0.2659,0.3043,61827005.05,2020-12-18 23:59:59.999000064,18096138.68608,53259,31106319.64,9152979.657959,0
2020-12-19,2020-12-19 00:00:00.000000000,0.3038,0.32,0.294,0.2977,39502925.93,2020-12-19 23:59:59.999000064,12068692.6124,41760,17870188.63,5468618.005904,0
2020-12-20,2020-12-20 00:00:00.000000000,0.2977,0.3044,0.2745,0.29,21482918.75,2020-12-20 23:59:59.999000064,6323672.637251,24178,9685114.24,2853228.826161,0
2020-12-21,2020-12-21 00:00:00.000000000,0.29,0.3118,0.2598,0.2744,31980454.95,2020-12-21 23:59:59.999000064,9000572.662454,33611,14322736.27,4027542.302547,0
2020-12-22,2020-12-22 00:00:00.000000000,0.2745,0.2825,0.2562,0.2777,27133649.59,2020-12-22 23:59:59.999000064,7372502.401376,29835,13410009.59,3648031.568963,0
2020-12-23,2020-12-23 00:00:00.000000000,0.278,0.2996,0.196,0.2328,56418545.63,2020-12-23 23:59:59.999000064,14519933.001893,51797,24919856.91,6470432.604583,0
2020-12-24,2020-12-24 00:00:00.000000000,0.2328,0.2646,0.191,0.2567,103502085.72,2020-12-24 23:59:59.999000064,23073963.054893,73746,52010570.42,11667716.33408,0
2020-12-25,2020-12-25 00:00:00.000000000,0.257,0.2724,0.2352,0.2441,41885165.89,2020-12-25 23:59:59.999000064,10576322.687319,35576,19997072.72,5058617.930607,0
2020-12-26,2020-12-26 00:00:00.000000000,0.2447,0.2579,0.2317,0.2364,24831698.03,2020-12-26 23:59:59.999000064,6058458.086477,23766,10330596.17,2522288.392815,0
2020-12-27,2020-12-27 00:00:00.000000000,0.2362,0.244,0.212,0.2356,41781282.53,2020-12-27 23:59:59.999000064,9649997.622971,33027,18157297.48,4195226.692173,0
2020-12-28,2020-12-28 00:00:00.000000000,0.2363,0.2427,0.2282,0.23,23423988.51,2020-12-28 23:59:59.999000064,5504087.199852,22440,11042130.64,2594229.01763,0
2020-12-29,2020-12-29 00:00:00.000000000,0.23,0.2364,0.2081,0.2228,28842477.08,2020-12-29 23:59:59.999000064,6397025.935106,26920,14763813.21,3273887.572597,0
2020-12-30,2020-12-30 00:00:00.000000000,0.223,0.2276,0.19,0.1954,35792944.86,2020-12-30 23:59:59.999000064,7417350.605366,27800,16131350.49,3354009.732453,0
2020-12-31,2020-12-31 00:00:00.000000000,0.1955,0.2075,0.1747,0.2057,60724653.09,2020-12-31 23:59:59.999000064,11494136.638301,45394,29115947.99,5518535.73921,0
2021-01-01,2021-01-01 00:00:00.000000000,0.2056,0.2461,0.2054,0.2217,61958039.3,2021-01-01 23:59:59.999000064,13978057.479296,54490,29521094.53,6653882.300259,0
2021-01-02,2021-01-02 00:00:00.000000000,0.222,0.2225,0.199,0.2031,31598903.12,2021-01-02 23:59:59.999000064,6582780.835534,24441,14396670.84,3003151.604525,0
2021-01-03,2021-01-03 00:00:00.000000000,0.2031,0.2198,0.1875,0.211,57749019.12,2021-01-03 23:59:59.999000064,11564093.969903,45949,30362107.29,6084081.596305,0
2021-01-04,2021-01-04 00:00:00.000000000,0.211,0.223,0.18,0.2045,60160618.29,2021-01-04 23:59:59.999000064,12162977.859482,46784,29907964.62,6066924.288996,0
2021-01-05,2021-01-05 00:00:00.000000000,0.2046,0.2154,0.1927,0.2048,35599786.43,2021-01-05 23:59:59.999000064,7236090.87111,33026,17889782.15,3639324.446876,0
2021-01-06,2021-01-06 00:00:00.000000000,0.2048,0.294,0.198,0.2559,190437366.01,2021-01-06 23:59:59.999000064,47179794.411437,113135,101042781.17,25020633.127112,0
2021-01-07,2021-01-07 00:00:00.000000000,0.2558,0.28,0.2358,0.2449,83147158.17,2021-01-07 23:59:59.999000064,21388240.680515,62307,43237853.24,11149451.349148,0
2021-01-08,2021-01-08 00:00:00.000000000,0.2449,0.269,0.216,0.231,76707924.75,2021-01-08 23:59:59.999000064,18258294.744977,61073,38545470.17,9188284.925203,0
2021-01-09,2021-01-09 00:00:00.000000000,0.231,0.2479,0.2216,0.2389,41841046.84,2021-01-09 23:59:59.999000064,9762359.473344,35017,21362651.27,4991646.216313,0
2021-01-10,2021-01-10 00:00:00.000000000,0.2389,0.2555,0.211,0.2333,52288383.99,2021-01-10 23:59:59.999000064,12414731.937232,41944,26915745.59,6389957.022986,0
2021-01-11,2021-01-11 00:00:00.000000000,0.2332,0.2333,0.1881,0.2123,56478830.89,2021-01-11 23:59:59.999000064,11739237.833226,42369,26924368.75,5601935.721125,0
2021-01-12,2021-01-12 00:00:00.000000000,0.212,0.2289,0.2022,0.2131,41015566.45,2021-01-12 23:59:59.999000064,8827316.475863,36450,20926466.8,4511318.499284,0
2021-01-13,2021-01-13 00:00:00.000000000,0.2132,0.2314,0.2032,0.229,99767861.38,2021-01-13 23:59:59.999000064,21630975.537251,121939,51622580.23,11192150.436529,0
2021-01-14,2021-01-14 00:00:00.000000000,0.2291,0.2333,0.2191,0.2275,85248615.49,2021-01-14 23:59:59.999000064,19273986.740355,144890,44374308.51,10035052.299287,0
2021-01-15,2021-01-15 00:00:00.000000000,0.2275,0.2301,0.2042,0.2136,80272367.01,2021-01-15 23:59:59.999000064,17400884.744716,108818,40052908.26,8688137.050848,0
2021-01-16,2021-01-16 00:00:00.000000000,0.2136,0.23,0.2098,0.2171,72612628.0,2021-01-16 23:59:59.999000064,15964567.373315,70465,38218638.04,8406799.113611,0
2021-01-17,2021-01-17 00:00:00.000000000,0.2171,0.2339,0.2125,0.2233,68094431.85,2021-01-17 23:59:59.999000064,15079080.26776,72750,35182295.16,7797125.257682,0
2021-01-18,2021-01-18 00:00:00.000000000,0.2232,0.242,0.2181,0.2359,69841121.68,2021-01-18 23:59:59.999000064,15883834.600213,75080,35694890.07,8123920.488884,0
2021-01-19,2021-01-19 00:00:00.000000000,0.2359,0.259,0.2344,0.2471,109367500.23,2021-01-19 23:59:59.999000064,26825466.288174,154367,55207647.48,13536015.310575,0
2021-01-20,2021-01-20 00:00:00.000000000,0.2468,0.2493,0.2181,0.2391,80123847.63,2021-01-20 23:59:59.999000064,18593968.025766,50131,43619215.17,10119185.957559,0
2021-01-21,2021-01-21 00:00:00.000000000,0.239,0.2394,0.2075,0.2113,36244107.98,2021-01-21 23:59:59.999000064,8001022.778178,30815,15818313.7,3496073.687829,0
2021-01-22,2021-01-22 00:00:00.000000000,0.2118,0.2247,0.1944,0.2162,35542859.69,2021-01-22 23:59:59.999000064,7482410.105131,28803,17626605.14,3715621.366122,0
2021-01-23,2021-01-23 00:00:00.000000000,0.216,0.23,0.2082,0.2155,25650646.4,2021-01-23 23:59:59.999000064,5544874.587168,21103,12515632.83,2711631.542029,0
2021-01-24,2021-01-24 00:00:00.000000000,0.2155,0.2237,0.2099,0.2134,29359124.97,2021-01-24 23:59:59.999000064,6362412.540141,20784,16040686.39,3478769.569972,0
2021-01-25,2021-01-25 00:00:00.000000000,0.2135,0.2287,0.2131,0.2212,34938060.1,2021-01-25 23:59:59.999000064,7728500.495483,27122,18170930.19,4016304.716028,0
2021-01-26,2021-01-26 00:00:00.000000000,0.2212,0.2463,0.2193,0.246,85195387.65,2021-01-26 23:59:59.999000064,19845223.324276,56699,42521725.84,9926501.517517,0
2021-01-27,2021-01-27 00:00:00.000000000,0.2461,0.2577,0.2207,0.2322,82814162.62,2021-01-27 23:59:59.999000064,19707267.317444,56439,39234227.66,9360619.999541,0
2021-01-28,2021-01-28 00:00:00.000000000,0.2322,0.2403,0.226,0.2334,46523457.9,2021-01-28 23:59:59.999000064,10783681.499,31987,23180933.61,5379878.355563,0
2021-01-29,2021-01-29 00:00:00.000000000,0.2335,0.2498,0.2275,0.235,84220190.58,2021-01-29 23:59:59.999000064,19979438.398315,53764,41199464.44,9776312.339642,0
2021-01-30,2021-01-30 00:00:00.000000000,0.235,0.2379,0.2205,0.232,49106684.03,2021-01-30 23:59:59.999000064,11316528.85482,31765,25764951.21,5944147.921098,0
2021-01-31,2021-01-31 00:00:00.000000000,0.2322,0.2416,0.2263,0.2358,45345949.59,2021-01-31 23:59:59.999000064,10531929.713049,28824,22567992.79,5246348.565451,0
2021-02-01,2021-02-01 00:00:00.000000000,0.2361,0.2788,0.2302,0.267,128768167.58,2021-02-01 23:59:59.999000064,32707109.877675,82676,61755328.59,15683079.861369,0
2021-02-02,2021-02-02 00:00:00.000000000,0.267,0.2939,0.2544,0.2773,110971297.07,2021-02-02 23:59:59.999000064,30492804.360208,64956,53425385.77,14697814.210206,0
2021-02-03,2021-02-03 00:00:00.000000000,0.2777,0.2886,0.27,0.2868,52846282.26,2021-02-03 23:59:59.999000064,14753453.074224,32094,27285075.68,7617814.720256,0
2021-02-04,2021-02-04 00:00:00.000000000,0.2868,0.2899,0.2599,0.2657,62495180.09,2021-02-04 23:59:59.999000064,17082149.28174,37450,31316172.47,8557705.496989,0
2021-02-05,2021-02-05 00:00:00.000000000,0.2657,0.289,0.2647,0.2889,47999645.17,2021-02-05 23:59:59.999000064,13311985.339525,31238,25130016.47,6975060.039467,0
2021-02-06,2021-02-06 00:00:00.000000000,0.2888,0.2938,0.2688,0.2755,50038649.01,2021-02-06 23:59:59.999000064,13928180.04723,33580,25452252.98,7089628.55522,0
2021-02-07,2021-02-07 00:00:00.000000000,0.2755,0.3217,0.271,0.3105,89560254.6,2021-02-07 23:59:59.999000064,25897372.212278,55135,47947155.25,13885743.406033,0
2021-02-08,2021-02-08 00:00:00.000000000,0.3103,0.361,0.3069,0.3283,151702498.21,2021-02-08 23:59:59.999000064,50078219.911368,100564,80472389.72,26589232.706113,0
