Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-09-24,2019-09-24 00:00:00.000000000,1.015,1.11,0.775,0.8597,812705.26,2019-09-24 23:59:59.999000064,796253.59407,3150,326763.5,322342.93121,0
2019-09-25,2019-09-25 00:00:00.000000000,0.8711,0.9122,0.8101,0.8517,342967.31,2019-09-25 23:59:59.999000064,292972.046206,1751,160448.58,137125.37427,0
2019-09-26,2019-09-26 00:00:00.000000000,0.8521,0.9086,0.81,0.8503,406060.51,2019-09-26 23:59:59.999000064,344849.947581,1691,152567.82,129252.962873,0
2019-09-27,2019-09-27 00:00:00.000000000,0.8451,0.8979,0.81,0.8845,257134.2,2019-09-27 23:59:59.999000064,217677.571891,1085,119468.24,102542.095739,0
2019-09-28,2019-09-28 00:00:00.000000000,0.8866,0.94,0.8605,0.8902,251804.6,2019-09-28 23:59:59.999000064,224891.619977,1113,144629.8,129542.140286,0
2019-09-29,2019-09-29 00:00:00.000000000,0.8966,0.9058,0.8565,0.8817,153810.52,2019-09-29 23:59:59.999000064,135884.076308,892,75493.45,66982.513493,0
2019-09-30,2019-09-30 00:00:00.000000000,0.8743,0.9169,0.8405,0.9018,295749.36,2019-09-30 23:59:59.999000064,257593.779159,1081,134818.44,118213.983856,0
2019-10-01,2019-10-01 00:00:00.000000000,0.9016,0.992,0.895,0.9502,279353.2,2019-10-01 23:59:59.999000064,262799.043125,1419,197049.85,185046.491926,0
2019-10-02,2019-10-02 00:00:00.000000000,0.9482,0.9482,0.8854,0.9428,244306.65,2019-10-02 23:59:59.999000064,222795.725331,1094,107466.32,97720.007978,0
2019-10-03,2019-10-03 00:00:00.000000000,0.9427,0.9627,0.9071,0.9299,218314.72,2019-10-03 23:59:59.999000064,201467.698348,1278,108899.36,100690.009412,0
2019-10-04,2019-10-04 00:00:00.000000000,0.9306,0.9306,0.8967,0.9194,122336.97,2019-10-04 23:59:59.999000064,111493.459403,938,34506.94,31602.096432,0
