Open Time,Open Time,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
2019-03-21,2019-03-21 00:00:00.000000000,58.5,59.1,53.31,55.14,7780.91395,2019-03-21 23:59:59.999000064,439917.273083,1882,3552.7774,201094.4098694,0
2019-03-22,2019-03-22 00:00:00.000000000,55.37,56.56,54.42,55.07,5182.07127,2019-03-22 23:59:59.999000064,286909.1342886,1360,1826.06795,101228.3464648,0
2019-03-23,2019-03-23 00:00:00.000000000,55.06,56.9,54.78,56.9,3435.73138,2019-03-23 23:59:59.999000064,190964.3467238,917,1955.51545,108497.1451013,0
2019-03-24,2019-03-24 00:00:00.000000000,56.8,58.44,55.81,57.21,8357.05638,2019-03-24 23:59:59.999000064,478186.0918224,1813,3446.81921,197249.3492575,0
2019-03-25,2019-03-25 00:00:00.000000000,57.06,57.13,53.78,55.32,4922.4201,2019-03-25 23:59:59.999000064,274141.6520095,1117,2573.85178,143012.7398229,0
2019-03-26,2019-03-26 00:00:00.000000000,55.32,55.5,52.72,54.49,3951.24438,2019-03-26 23:59:59.999000064,212108.683224,894,1722.47823,92376.0629299,0
2019-03-27,2019-03-27 00:00:00.000000000,54.5,57.35,54.49,56.96,4350.00589,2019-03-27 23:59:59.999000064,241493.3666605,1059,2020.5039,112626.6352897,0
2019-03-28,2019-03-28 00:00:00.000000000,56.8,56.8,55.29,56.18,5429.87373,2019-03-28 23:59:59.999000064,303098.3218913,1103,1955.13482,109375.0498656,0
2019-03-29,2019-03-29 00:00:00.000000000,56.15,58.12,55.1,57.14,8048.82943,2019-03-29 23:59:59.999000064,453946.9213097,1686,4288.91351,241147.8386816,0
2019-03-30,2019-03-30 00:00:00.000000000,57.15,57.44,55.6,57.1,3709.98578,2019-03-30 23:59:59.999000064,210420.9254309,964,2090.35108,118974.83848,0
2019-03-31,2019-03-31 00:00:00.000000000,56.81,59.52,56.73,58.65,11424.86631,2019-03-31 23:59:59.999000064,664704.6983971,2173,7194.24477,419204.485844,0
2019-04-01,2019-04-01 00:00:00.000000000,58.78,63.68,58.13,62.7,14320.42676,2019-04-01 23:59:59.999000064,884575.3532597,3377,7968.29755,491579.7785932,0
2019-04-02,2019-04-02 00:00:00.000000000,62.69,70.99,60.56,69.6,29209.1403,2019-04-02 23:59:59.999000064,1915070.4167144,7148,15549.82906,1020486.0722066,0
2019-04-03,2019-04-03 00:00:00.000000000,69.53,77.0,66.0,69.55,26319.22623,2019-04-03 23:59:59.999000064,1892511.129047,7645,11476.85053,823153.5262681,0
2019-04-04,2019-04-04 00:00:00.000000000,69.11,71.37,64.59,66.78,11785.24136,2019-04-04 23:59:59.999000064,801465.0088937,3648,4982.40862,339544.7663762,0
2019-04-05,2019-04-05 00:00:00.000000000,66.91,72.62,66.91,72.05,13442.0753,2019-04-05 23:59:59.999000064,949160.8077646,3590,7612.04523,538044.3254879,0
2019-04-06,2019-04-06 00:00:00.000000000,71.62,73.12,69.14,71.23,7766.29711,2019-04-06 23:59:59.999000064,551161.6289009,2768,3685.68792,262096.6780466,0
2019-04-07,2019-04-07 00:00:00.000000000,71.38,75.0,70.52,74.37,14712.68656,2019-04-07 23:59:59.999000064,1075249.9882733,4238,7367.18842,538098.43677,0
2019-04-08,2019-04-08 00:00:00.000000000,74.21,76.07,68.85,72.19,14024.24424,2019-04-08 23:59:59.999000064,1019916.621776,4561,6441.93381,470100.4269013,0
2019-04-09,2019-04-09 00:00:00.000000000,72.2,72.2,68.6,70.3,14949.76326,2019-04-09 23:59:59.999000064,1041357.535008,3111,9575.27573,665434.1556667,0
2019-04-10,2019-04-10 00:00:00.000000000,70.43,73.79,70.07,71.75,10810.99401,2019-04-10 23:59:59.999000064,777505.5219636,3184,5873.44491,422726.053272,0
2019-04-11,2019-04-11 00:00:00.000000000,71.85,72.11,63.32,69.61,13912.92374,2019-04-11 23:59:59.999000064,942696.0969887,4080,6230.67265,424032.1793866,0
2019-04-12,2019-04-12 00:00:00.000000000,69.59,71.81,67.14,70.94,21759.37412,2019-04-12 23:59:59.999000064,1524884.8302209,4437,15118.2621,1058202.7505415,0
2019-04-13,2019-04-13 00:00:00.000000000,71.09,71.24,68.3,69.08,5477.3534,2019-04-13 23:59:59.999000064,381725.0087146,1885,2500.90876,174677.1238264,0
2019-04-14,2019-04-14 00:00:00.000000000,69.11,70.25,66.95,69.6,4003.31204,2019-04-14 23:59:59.999000064,274939.4882736,1907,2422.67895,166517.9711046,0
2019-04-15,2019-04-15 00:00:00.000000000,69.6,70.28,65.4,67.45,6269.86479,2019-04-15 23:59:59.999000064,427509.4732451,2323,2448.62569,167092.0003322,0
2019-04-16,2019-04-16 00:00:00.000000000,67.42,69.48,66.76,68.98,4636.8703,2019-04-16 23:59:59.999000064,314649.5576397,1564,1479.69074,100547.6067965,0
2019-04-17,2019-04-17 00:00:00.000000000,68.98,71.47,67.45,70.09,5366.13533,2019-04-17 23:59:59.999000064,371547.9068678,2017,2681.76578,186073.4293523,0
2019-04-18,2019-04-18 00:00:00.000000000,70.25,71.75,69.6,70.26,7158.85162,2019-04-18 23:59:59.999000064,506410.1621576,2400,3620.21757,255931.7105031,0
2019-04-19,2019-04-19 00:00:00.000000000,70.26,70.28,68.8,69.23,3597.43307,2019-04-19 23:59:59.999000064,250539.3663256,1470,1685.39629,117572.5601679,0
2019-04-20,2019-04-20 00:00:00.000000000,69.4,69.98,68.34,69.35,3127.81037,2019-04-20 23:59:59.999000064,216781.8054598,1011,1466.826,101757.8780246,0
2019-04-21,2019-04-21 00:00:00.000000000,69.5,69.6,66.09,67.91,4550.43867,2019-04-21 23:59:59.999000064,307446.3582129,1571,1937.44337,130985.4657574,0
2019-04-22,2019-04-22 00:00:00.000000000,68.11,70.17,65.92,68.76,5441.6022,2019-04-22 23:59:59.999000064,371791.0102147,2063,2439.02419,166285.3169612,0
2019-04-23,2019-04-23 00:00:00.000000000,68.95,70.97,66.45,66.45,6335.42537,2019-04-23 23:59:59.999000064,437343.3573284,2271,3414.78009,236339.3791515,0
2019-04-24,2019-04-24 00:00:00.000000000,66.64,67.09,61.87,65.26,8735.95642,2019-04-24 23:59:59.999000064,561888.7267808,2483,3381.37143,217678.065464,0
2019-04-25,2019-04-25 00:00:00.000000000,65.18,66.19,60.31,61.89,5757.95567,2019-04-25 23:59:59.999000064,365016.1975652,1902,2553.00718,162644.3165053,0
2019-04-26,2019-04-26 00:00:00.000000000,61.93,64.72,59.17,61.88,12366.6649,2019-04-26 23:59:59.999000064,760447.3990178,2798,4326.94478,265277.7965759,0
2019-04-27,2019-04-27 00:00:00.000000000,62.01,62.75,60.19,61.55,5146.66358,2019-04-27 23:59:59.999000064,314281.5708913,1314,1769.52818,108734.9387372,0
2019-04-28,2019-04-28 00:00:00.000000000,61.56,62.57,60.36,60.6,2733.98514,2019-04-28 23:59:59.999000064,167934.728667,851,986.00433,60664.3022176,0
2019-04-29,2019-04-29 00:00:00.000000000,60.42,60.79,57.05,57.89,5610.84906,2019-04-29 23:59:59.999000064,330354.2000166,1483,1653.0588,97795.6802769,0
2019-04-30,2019-04-30 00:00:00.000000000,57.89,60.85,57.3,60.66,5564.06161,2019-04-30 23:59:59.999000064,328794.5774321,1423,2716.08013,160293.5095882,0
2019-05-01,2019-05-01 00:00:00.000000000,60.47,61.67,59.6,61.06,4083.6477,2019-05-01 23:59:59.999000064,247006.4035321,1405,2254.29774,136599.1820969,0
2019-05-02,2019-05-02 00:00:00.000000000,61.13,61.3,59.55,60.03,5073.04145,2019-05-02 23:59:59.999000064,305794.3011204,1555,2529.29496,152565.8634747,0
2019-05-03,2019-05-03 00:00:00.000000000,60.03,63.97,59.87,62.85,7085.86616,2019-05-03 23:59:59.999000064,439970.773754,2279,3206.86981,200075.8658327,0
